epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.1367,1.31977,2.40086,1.57106,0.6524,0.65076,0.67084,0.42914,1.38321,1.93926,1.73418,0.00041502,0.00041502,0.00041502
2,157.038,1.28783,1.65965,1.4755,0.71717,0.64016,0.69089,0.41588,1.46072,1.67931,1.7947,0.000823453,0.000823453,0.000823453
3,229.834,1.27242,1.40547,1.44694,0.73318,0.72084,0.74591,0.48763,1.30923,1.1815,1.61707,0.00122364,0.00122364,0.00122364
4,306.542,1.25043,1.26004,1.43389,0.79797,0.8039,0.83485,0.54254,1.26885,0.97786,1.56187,0.00121287,0.00121287,0.00121287
5,382.532,1.21069,1.15057,1.38885,0.9029,0.77159,0.83278,0.56536,1.234,0.92396,1.51607,0.0012005,0.0012005,0.0012005
6,457.41,1.19344,1.1088,1.377,0.84045,0.80463,0.84512,0.5564,1.254,0.91458,1.49784,0.00118812,0.00118812,0.00118812
7,535.007,1.1723,1.03774,1.36516,0.82422,0.80724,0.84538,0.56226,1.24393,0.88324,1.5499,0.00117575,0.00117575,0.00117575
8,608.231,1.15086,1.00335,1.33698,0.85952,0.80066,0.85859,0.55989,1.24393,0.87452,1.49611,0.00116337,0.00116337,0.00116337
9,683.413,1.13156,0.96622,1.32711,0.84496,0.85869,0.8876,0.6137,1.14246,0.76378,1.40004,0.001151,0.001151,0.001151
10,759.74,1.10416,0.92119,1.30894,0.84256,0.8627,0.89089,0.61213,1.13262,0.73397,1.40486,0.00113863,0.00113863,0.00113863
11,833.387,1.10277,0.89235,1.30188,0.88669,0.88043,0.9146,0.62211,1.12671,0.69688,1.38766,0.00112625,0.00112625,0.00112625
12,912.51,1.1029,0.8757,1.301,0.87361,0.8489,0.89563,0.60846,1.17071,0.7457,1.43009,0.00111388,0.00111388,0.00111388
13,986.535,1.0912,0.85598,1.28755,0.90505,0.85921,0.89772,0.61758,1.1327,0.71993,1.39468,0.0011015,0.0011015,0.0011015
14,1061.76,1.07511,0.81934,1.28011,0.87971,0.86737,0.88845,0.62549,1.11485,0.67969,1.37489,0.00108913,0.00108913,0.00108913
15,1137.27,1.06839,0.83841,1.27767,0.88798,0.87165,0.90159,0.63465,1.10251,0.69867,1.37029,0.00107675,0.00107675,0.00107675
16,1211.29,1.06468,0.81344,1.27553,0.89161,0.90952,0.91997,0.64977,1.07663,0.62231,1.34169,0.00106437,0.00106437,0.00106437
17,1290.91,1.0525,0.79187,1.26594,0.88796,0.87296,0.91715,0.65255,1.07923,0.64394,1.36065,0.001052,0.001052,0.001052
18,1364.55,1.05121,0.7917,1.26126,0.90292,0.89145,0.92206,0.6378,1.10557,0.62559,1.37458,0.00103962,0.00103962,0.00103962
19,1439.91,1.03265,0.7762,1.25003,0.91691,0.87128,0.91865,0.65017,1.08073,0.64424,1.34453,0.00102725,0.00102725,0.00102725
20,1515.16,1.02989,0.767,1.24621,0.917,0.90237,0.93066,0.6597,1.08009,0.59883,1.33766,0.00101488,0.00101488,0.00101488
21,1589.18,1.02683,0.75241,1.24043,0.93588,0.89881,0.93329,0.67182,1.05596,0.57436,1.31878,0.0010025,0.0010025,0.0010025
22,1666.84,1.01972,0.74908,1.24044,0.90027,0.8974,0.92274,0.6543,1.0693,0.6239,1.33551,0.000990125,0.000990125,0.000990125
23,1741.26,1.00519,0.72107,1.22763,0.90566,0.90985,0.93926,0.66203,1.06712,0.57389,1.32581,0.00097775,0.00097775,0.00097775
24,1818.02,1.0061,0.72636,1.23051,0.94247,0.88978,0.93248,0.66887,1.05559,0.57409,1.33099,0.000965375,0.000965375,0.000965375
25,1895.18,0.99984,0.71466,1.22969,0.88521,0.90261,0.92119,0.65563,1.05428,0.5987,1.33143,0.000953,0.000953,0.000953
26,1972.01,1.00201,0.70957,1.22043,0.93257,0.89246,0.92619,0.66821,1.0448,0.56247,1.30675,0.000940625,0.000940625,0.000940625
27,2048.78,0.99261,0.69905,1.21773,0.92619,0.9082,0.93526,0.66234,1.07689,0.56898,1.32673,0.00092825,0.00092825,0.00092825
28,2122.78,0.9844,0.69814,1.22054,0.92141,0.90595,0.94319,0.67735,1.03913,0.54379,1.30661,0.000915875,0.000915875,0.000915875
29,80.5209,0.98353,0.683,1.20987,0.93419,0.92057,0.94934,0.68574,1.03694,0.52891,1.29995,0.0009035,0.0009035,0.0009035
30,165.098,0.98145,0.69466,1.2162,0.9373,0.90322,0.92932,0.66489,1.0571,0.55947,1.31479,0.000891125,0.000891125,0.000891125
31,243.023,0.96682,0.66857,1.20206,0.94732,0.89838,0.94032,0.67997,1.01594,0.5317,1.2995,0.00087875,0.00087875,0.00087875
32,322.273,0.95949,0.6558,1.20458,0.91243,0.91754,0.9329,0.67238,1.0393,0.54202,1.30537,0.000866375,0.000866375,0.000866375
33,400.592,0.94768,0.64697,1.19466,0.91163,0.93285,0.94087,0.69276,1.0004,0.52539,1.26299,0.000854,0.000854,0.000854
34,482.147,0.95661,0.65905,1.19921,0.94943,0.89594,0.93868,0.68689,1.01924,0.52934,1.29203,0.000841625,0.000841625,0.000841625
35,558.426,0.95515,0.64923,1.20278,0.9184,0.91935,0.94255,0.69169,1.0186,0.52019,1.29471,0.00082925,0.00082925,0.00082925
36,637.251,0.94572,0.6324,1.18929,0.9377,0.90717,0.94403,0.69317,1.0144,0.50662,1.28705,0.000816875,0.000816875,0.000816875
37,715.29,0.93269,0.63285,1.18382,0.91015,0.92427,0.93943,0.68257,1.02852,0.5321,1.28452,0.0008045,0.0008045,0.0008045
38,794.266,0.92652,0.62366,1.18245,0.94417,0.91854,0.94567,0.69879,1.02154,0.49833,1.28995,0.000792125,0.000792125,0.000792125
39,874.546,0.92948,0.61573,1.18244,0.94534,0.90835,0.94469,0.69762,1.00652,0.50555,1.28329,0.00077975,0.00077975,0.00077975
